中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,11 ms,6 Mbps,828 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,9 ms,49 Mbps,6312 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,832 Mbps,106496 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,58 ms,371 Mbps,47513 kB/s
129.146.46.164,443,129.146.46.164,349 Mbps,44748 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,66 ms,379 Mbps,48537 kB/s
184.169.181.217,443,184.169.181.217,US,Los Angeles,中转,59 ms,484 Mbps,62054 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,61 ms,367 Mbps,47001 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,70 ms,372 Mbps,47616 kB/s
34.82.76.253,443,34.127.34.227,US,Seattle,隧道,76 ms,276 Mbps,35430 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,66 ms,350 Mbps,44851 kB/s
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,70 ms,362 Mbps,46387 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,74 ms,275 Mbps,35225 kB/s
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,69 ms,308 Mbps,39526 kB/s
152.70.56.11,443,2606:f240:f00:6acf:0:13fa:d5e1:5e71,US,Frankfurt,隧道,93 ms,144 Mbps,18432 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,95 ms,232 Mbps,29798 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,105 ms,228 Mbps,29184 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,91 ms,43 Mbps,5548 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,91 ms,45 Mbps,5770 kB/s
140.238.173.181,443,140.238.173.181,CH,Zurich,中转,107 ms,184 Mbps,23654 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,251 Mbps,32153 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,104 ms,42 Mbps,5490 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,177 ms,112 Mbps,14336 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,35 Mbps,4514 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,165 ms,48 Mbps,6226 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,214 ms,30 Mbps,3863 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,207 ms,39 Mbps,5013 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,219 ms,0 Mbps,44 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,205 ms,39 Mbps,5091 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,243 ms,1 Mbps,174 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,241 ms,48 Mbps,6203 kB/s
