中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,14 ms,880 Mbps,112640 kB/s,112640.0
129.80.82.83,443,2604:980:1003:ed:0:3790:1ff0:5c49,US,Ashburn,隧道,16 ms,660 Mbps,84582 kB/s,84582.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,62 ms,610 Mbps,78131 kB/s,78131.0
129.80.13.33,443,2604:980:1003:ee:0:b559:e735:b2ff,US,Ashburn,隧道,37 ms,605 Mbps,77516 kB/s,77516.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,33 ms,513 Mbps,65740 kB/s,65740.0
35.230.79.26,443,35.212.191.179,US,Seattle,隧道,84 ms,362 Mbps,46387 kB/s,46387.0
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,105 ms,344 Mbps,44032 kB/s,44032.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,77 ms,342 Mbps,43827 kB/s,43827.0
35.197.23.75,443,35.212.191.179,US,Seattle,隧道,80 ms,325 Mbps,41676 kB/s,41676.0
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,66 ms,324 Mbps,41574 kB/s,41574.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,97 ms,321 Mbps,41164 kB/s,41164.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,118 ms,300 Mbps,38400 kB/s,38400.0
192.18.130.65,443,192.18.130.65,US,San Jose,中转,80 ms,296 Mbps,37990 kB/s,37990.0
192.9.146.103,443,192.9.146.103,US,San Jose,中转,85 ms,286 Mbps,36659 kB/s,36659.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,90 ms,278 Mbps,35635 kB/s,35635.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,88 ms,275 Mbps,35225 kB/s,35225.0
150.230.44.13,443,150.230.44.13,US,San Jose,中转,83 ms,274 Mbps,35123 kB/s,35123.0
143.47.176.251,443,2a0b:21c0:1007:1cb:0:99ab:d199:9ca4,DE,Frankfurt,隧道,108 ms,260 Mbps,33382 kB/s,33382.0
152.70.55.39,443,98.98.166.182,US,Frankfurt,隧道,88 ms,252 Mbps,32358 kB/s,32358.0
143.47.183.201,443,2a0b:21c0:1007:c8:0:b356:b076:902f,DE,Frankfurt,隧道,107 ms,250 Mbps,32051 kB/s,32051.0
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,116 ms,249 Mbps,31948 kB/s,31948.0
