中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
107.172.218.159,443,104.28.217.42,US,San Jose,隧道,2 ms,333 Mbps,42700 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,339 Mbps,43417 kB/s
35.197.23.75,443,34.168.30.104,US,Seattle,隧道,29 ms,864 Mbps,110592 kB/s
107.174.88.162,443,107.174.88.162,US,San Jose,中转,46 ms,755 Mbps,96665 kB/s
192.18.149.159,443,192.18.149.159,CA,Toronto,中转,60 ms,60 Mbps,7755 kB/s
129.146.169.119,443,2603:c020:6:9488:3ad:8eeb:97ea:8a47,US,Los Angeles,隧道,18 ms,442 Mbps,56627 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,1576 Mbps,201728 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,2 ms,1672 Mbps,214016 kB/s
35.230.79.26,443,34.168.30.104,US,Seattle,隧道,25 ms,682 Mbps,87347 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,2 ms,1384 Mbps,177152 kB/s
107.172.98.6,443,2a09:bac5:cad1:1250::1d3:5b,US,San Jose,隧道,98 ms,205 Mbps,26316 kB/s
107.174.192.7,443,107.174.192.7,US,San Jose,中转,2 ms,712 Mbps,91136 kB/s
47.88.101.9,443,47.88.101.9,US,San Jose,中转,22 ms,472 Mbps,60416 kB/s
192.9.231.75,443,192.9.231.75,US,San Jose,中转,34 ms,80 Mbps,10342 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,12 ms,712 Mbps,91136 kB/s
140.238.145.194,443,140.238.145.194,CA,Toronto,中转,64 ms,209 Mbps,26828 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,61 ms,501 Mbps,64204 kB/s
146.235.218.129,443,146.235.218.129,US,San Jose,中转,13 ms,389 Mbps,49868 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,52 ms,1472 Mbps,188416 kB/s
34.145.83.113,443,2a09:bac1:7680:dba8::1c:25f,US,Seattle,隧道,33 ms,475 Mbps,60825 kB/s
34.82.76.253,443,34.105.57.113,US,Seattle,隧道,83 ms,864 Mbps,110592 kB/s
23.94.43.51,443,23.94.43.51,CA,Seattle,中转,49 ms,543 Mbps,69529 kB/s
198.12.97.48,443,198.12.97.48,US,Chicago,中转,88 ms,411 Mbps,52633 kB/s
150.136.241.40,443,150.136.241.40,US,Ashburn,中转,76 ms,274 Mbps,35123 kB/s
23.95.166.181,443,23.95.166.181,US,Buffalo,中转,90 ms,253 Mbps,32460 kB/s
198.23.196.40,443,198.23.196.40,US,Buffalo,中转,83 ms,120 Mbps,15462 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,153 ms,99 Mbps,12697 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,154 ms,40 Mbps,5202 kB/s
3.97.14.70,443,3.97.14.70,CA,Montréal,中转,80 ms,254 Mbps,32563 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,154 ms,109 Mbps,14028 kB/s
52.192.70.199,443,52.192.70.199,JP,Tokyo,中转,111 ms,6 Mbps,885 kB/s
138.3.222.135,443,138.3.222.135,JP,Tokyo,中转,104 ms,46 Mbps,5956 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,146 ms,118 Mbps,15155 kB/s
141.147.67.4,443,2a0b:21c0:1007:cb:0:16e1:a1a8:5228,DE,Paris,隧道,154 ms,114 Mbps,14643 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,111 Mbps,14233 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,157 ms,112 Mbps,14438 kB/s
47.89.191.155,443,47.89.191.155,US,Ashburn,中转,89 ms,22 Mbps,2883 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,106 ms,184 Mbps,23552 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,85 ms,290 Mbps,37171 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,153 ms,37 Mbps,4739 kB/s
192.210.175.20,443,192.210.175.20,US,Amsterdam,中转,151 ms,49 Mbps,6372 kB/s
34.65.217.176,443,2a0b:21c0:100a:1b2:0:773a:69a5:6ae5,DE,Amsterdam,隧道,165 ms,92 Mbps,11776 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,161 ms,40 Mbps,5158 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,174 ms,2 Mbps,372 kB/s
8.219.140.63,443,8.219.140.63,SG,Singapore,中转,255 ms,66 Mbps,8510 kB/s
34.147.28.91,443,2a0b:21c0:1007:c7:0:de9e:5cd5:3d56,DE,Frankfurt,隧道,156 ms,120 Mbps,15462 kB/s
