中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,29 ms,711 Mbps,91033 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,87 ms,309 Mbps,39628 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,75 ms,348 Mbps,44646 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,18 ms,714 Mbps,91443 kB/s
35.197.23.75,443,35.212.227.11,US,Seattle,隧道,73 ms,332 Mbps,42598 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,65 ms,407 Mbps,52121 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,1 ms,70 Mbps,8961 kB/s
35.230.79.26,443,35.212.227.11,US,Seattle,隧道,71 ms,321 Mbps,41164 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,97 ms,256 Mbps,32768 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,124 ms,243 Mbps,31129 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,19 ms,5 Mbps,729 kB/s
47.90.141.204,443,91.149.239.72,US,Los Angeles,隧道,11 ms,42 Mbps,5438 kB/s
168.138.90.241,443,168.138.90.241,CA,Toronto,中转,31 ms,62 Mbps,8028 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,76 ms,384 Mbps,49152 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,81 ms,350 Mbps,44851 kB/s
130.61.23.77,443,130.61.23.77,106 Mbps,13619 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,1 ms,78 Mbps,10035 kB/s
34.82.76.253,443,34.83.158.48,US,Seattle,隧道,77 ms,387 Mbps,49561 kB/s
143.47.244.160,443,2a0b:21c0:100a:1b1:0:39a0:cdd:d0a1,DE,Frankfurt,隧道,102 ms,204 Mbps,26112 kB/s
143.47.240.79,443,98.98.166.186,US,Frankfurt,隧道,102 ms,197 Mbps,25292 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,95 ms,256 Mbps,32768 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,87 ms,42 Mbps,5489 kB/s
144.24.252.15,443,144.24.252.15,CH,Zurich,中转,116 ms,42 Mbps,5378 kB/s
129.146.117.117,443,129.146.117.117,US,Los Angeles,中转,80 ms,371 Mbps,47513 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,101 ms,39 Mbps,5001 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,95 ms,26 Mbps,3438 kB/s
152.70.49.76,443,2a0b:21c0:100a:1b1:0:9a67:bc06:c129,DE,Frankfurt,隧道,104 ms,117 Mbps,15052 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,87 ms,275 Mbps,35225 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,96 ms,207 Mbps,26521 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,194 ms,108 Mbps,13926 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,115 ms,221 Mbps,28364 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,14 ms,33 Mbps,4303 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,93 ms,440 Mbps,56422 kB/s
193.123.57.244,443,98.98.156.18,DE,Frankfurt,隧道,121 ms,220 Mbps,28160 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,217 ms,101 Mbps,13004 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,89 ms,239 Mbps,30617 kB/s
144.24.65.251,443,144.24.65.251,KR,Seoul,中转,209 ms,41 Mbps,5269 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,93 ms,42 Mbps,5400 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,139 ms,165 Mbps,21196 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,223 ms,27 Mbps,3492 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,208 ms,36 Mbps,4635 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,220 ms,82 Mbps,10547 kB/s
138.2.107.107,443,138.2.107.107,SG,Singapore,中转,248 ms,91 Mbps,11673 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,129 ms,97 Mbps,12492 kB/s
130.61.169.24,443,130.61.169.24,DE,Frankfurt,中转,117 ms,204 Mbps,26214 kB/s
146.56.176.143,443,146.56.176.143,KR,Seoul,中转,217 ms,35 Mbps,4489 kB/s
138.2.75.4,443,2603:c024:4512:f299:ad15:4581:5af6:8a,SG,Singapore,隧道,243 ms,49 Mbps,6305 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,240 ms,2 Mbps,316 kB/s
155.248.181.189,443,155.248.181.189,JP,Tokyo,中转,238 ms,40 Mbps,5181 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,121 ms,39 Mbps,5116 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,94 ms,286 Mbps,36659 kB/s
141.147.163.68,443,141.147.163.68,JP,Tokyo,中转,248 ms,73 Mbps,9408 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,181 ms,82 Mbps,10547 kB/s
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,268 ms,62 Mbps,7940 kB/s
158.180.92.59,443,158.180.92.59,KR,Seoul,中转,203 ms,80 Mbps,10240 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,109 ms,309 Mbps,39628 kB/s
130.162.144.191,443,2a09:bac5:4757:1482::20b:9c,KR,Seoul,隧道,214 ms,33 Mbps,4321 kB/s
8.222.165.104,443,8.222.165.104,SG,Singapore,中转,247 ms,58 Mbps,7452 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,109 ms,43 Mbps,5586 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,224 ms,26 Mbps,3383 kB/s
144.22.252.124,443,144.22.252.124,BR,São Paulo,中转,122 ms,144 Mbps,18534 kB/s
141.147.185.63,443,141.147.185.63,JP,Tokyo,中转,252 ms,29 Mbps,3806 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,113 ms,48 Mbps,6242 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,124 ms,44 Mbps,5697 kB/s
8.212.44.95,443,47.76.21.100,HK,Hong Kong,隧道,256 ms,14 Mbps,1846 kB/s
152.67.200.119,443,2602:ffe4:407:20da:0:3631:c2c8:d0f1,SG,Singapore,隧道,273 ms,45 Mbps,5870 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,243 ms,56 Mbps,7271 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,118 ms,40 Mbps,5246 kB/s
8.212.48.236,443,47.76.21.97,HK,Hong Kong,隧道,232 ms,9 Mbps,1239 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,226 ms,29 Mbps,3724 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,88 ms,340 Mbps,43622 kB/s
152.70.54.161,443,2606:f240:f00:dd8d:0:ca4:62bb:1b9f,US,Frankfurt,隧道,112 ms,268 Mbps,34304 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,205 ms,87 Mbps,11161 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,219 ms,112 Mbps,14336 kB/s
193.123.230.164,443,217.142.149.56,KR,Seoul,隧道,215 ms,85 Mbps,10956 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,213 ms,73 Mbps,9446 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,251 ms,73 Mbps,9444 kB/s
141.148.187.195,443,141.148.187.195,US,Los Angeles,中转,129 ms,29 Mbps,3833 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,256 ms,0 Mbps,43 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,115 ms,0 Mbps,66 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,104 ms,117 Mbps,15052 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,112 ms,43 Mbps,5535 kB/s
141.148.224.152,443,2a0b:21c0:100a:1b4:0:6899:2526:1c2,DE,Frankfurt,隧道,137 ms,235 Mbps,30105 kB/s
152.70.59.27,443,2a0b:21c0:1007:ca:0:cc0a:1817:a635,DE,Frankfurt,隧道,103 ms,249 Mbps,31948 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,113 ms,321 Mbps,41164 kB/s
144.24.73.232,443,144.24.73.232,KR,Seoul,中转,226 ms,37 Mbps,4861 kB/s
146.56.46.84,443,2603:c022:8007:a810::dcba,KR,Seoul,隧道,261 ms,38 Mbps,4872 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,256 ms,66 Mbps,8490 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,114 ms,0 Mbps,8 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,241 ms,7 Mbps,959 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,238 ms,36 Mbps,4715 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,241 ms,15 Mbps,2027 kB/s
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,241 ms,0 Mbps,16 kB/s
