中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,124 ms,106 Mbps,13619 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,17 ms,717 Mbps,91852 kB/s
47.253.152.99,443,47.253.152.99,US,Ashburn,中转,21 ms,348 Mbps,44544 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,51 ms,478 Mbps,61235 kB/s
91.149.239.122,443,91.149.239.122,US,Los Angeles,中转,46 ms,173 Mbps,22220 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,16 ms,695 Mbps,88985 kB/s
47.253.129.190,443,47.253.129.190,US,Ashburn,中转,23 ms,33 Mbps,4342 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,0 Mbps,118 kB/s
132.226.114.74,443,132.226.114.74,US,Los Angeles,中转,75 ms,49 Mbps,6382 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,44 ms,493 Mbps,63180 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,23 ms,44 Mbps,5639 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,109 ms,41 Mbps,5286 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,131 ms,224 Mbps,28774 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,73 ms,322 Mbps,41267 kB/s
47.89.244.253,443,47.89.244.253,US,San Jose,中转,78 ms,7 Mbps,909 kB/s
141.145.217.226,443,141.145.217.226,FR,Paris,中转,98 ms,48 Mbps,6200 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,80 ms,413 Mbps,52940 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,111 ms,47 Mbps,6044 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,105 ms,43 Mbps,5570 kB/s
129.153.116.130,443,129.153.116.130,US,Los Angeles,中转,82 ms,30 Mbps,3847 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,64 ms,489 Mbps,62668 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,65 ms,48 Mbps,6174 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,114 ms,195 Mbps,24985 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,69 ms,413 Mbps,52940 kB/s
152.67.251.232,443,152.67.251.232,US,San Jose,中转,52 ms,530 Mbps,67891 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,133 ms,174 Mbps,22323 kB/s
193.122.58.158,443,193.122.58.158,DE,Frankfurt,中转,111 ms,40 Mbps,5200 kB/s
