中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
35.197.23.75,443,35.212.232.22,US,Seattle,隧道,30 ms,928 Mbps,118784 kB/s,118784.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,904 Mbps,115712 kB/s,115712.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,7 ms,888 Mbps,113664 kB/s,113664.0
35.230.79.26,443,35.212.232.22,US,Seattle,隧道,24 ms,816 Mbps,104448 kB/s,104448.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,6 ms,686 Mbps,87859 kB/s,87859.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,1 ms,589 Mbps,75468 kB/s,75468.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,30 ms,552 Mbps,70758 kB/s,70758.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,19 ms,465 Mbps,59596 kB/s,59596.0
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,17 ms,454 Mbps,58163 kB/s,58163.0
34.82.76.253,443,34.83.144.186,US,Seattle,隧道,26 ms,412 Mbps,52736 kB/s,52736.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,79 ms,282 Mbps,36147 kB/s,36147.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,108 ms,202 Mbps,25907 kB/s,25907.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,168 ms,124 Mbps,15974 kB/s,15974.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,169 ms,108 Mbps,13926 kB/s,13926.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,192 ms,102 Mbps,13107 kB/s,13107.0
64.110.104.30,443,64.110.104.30,JP,Hong Kong,中转,132 ms,49 Mbps,6318 kB/s,6318.0
146.56.146.67,443,128.14.110.206,SG,Singapore,隧道,202 ms,47 Mbps,6057 kB/s,6057.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,122 ms,46 Mbps,5969 kB/s,5969.0
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,120 ms,46 Mbps,5911 kB/s,5911.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,164 ms,45 Mbps,5873 kB/s,5873.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,119 ms,45 Mbps,5786 kB/s,5786.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,131 ms,42 Mbps,5472 kB/s,5472.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,141 ms,41 Mbps,5351 kB/s,5351.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,152 ms,41 Mbps,5257 kB/s,5257.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,170 ms,40 Mbps,5197 kB/s,5197.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,164 ms,37 Mbps,4863 kB/s,4863.0
168.138.165.174,443,168.138.165.174,SG,Newark,中转,174 ms,9 Mbps,1182 kB/s,1182.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,94 ms,1 Mbps,194 kB/s,194.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,161 ms,0 Mbps,18 kB/s,18.0
129.146.46.164,443,129.146.46.164,308 Mbps,39424 kB/s,,,,,
